LineID,Type,Speaker,Value,Next
pro_106,Text,로아,<emote=_21/>{{Player}}... 그건 안 돼.,click
pro_107,Flow,,Jump:roa_정리테스트,>
roa_정리테스트,Text,{{Player}},"알았어, 알았어...",click
pro_108,Text,로아,이번 한 번만 넘어가는 거야!,click
pro_109,Text,로아,<emote=_00/>그리고 걱정 마. {{Player}}와 함께 계속하면 나는 계속해서 더 잘하게 될 거라고!,click
pro_110,Text,{{Player}},"알았어, 알았다고. 이제 자러 갈게.",click
pro_111,Text,로아,<emote=_11/>좋아! 착실한 학생은 언제나 보기 좋은 법이지.,click
pro_112,Text,로아,"<emote=_00/>그럼 잘 자, {{Player}}.",click
pro_113,BG,,bg_00_00:Cross,await
pro_114,Text,로아,내일 다시 만나.,click
pro_115,FX,,SceneEnd,await
pro_116,Flow,,LoadingScene,await
pro_117,FX,,SceneStart:bg_10_04:EyeClose,await
pro_118,Place,,[새 학기 첫날] | 침대 위,>
pro_119,FX,,Wait:0.5,>
pro_120,Text,로아,...나.,click
pro_121,Text,로아,...어나...,click
pro_122,FX,,DialogueShake,>
pro_123,Text,로아,일어나!,click
pro_124,FX,,DialogueShake:Strong,>
pro_125,Text,로아,{{Player}}! 일어나라고!,click
pro_126,FX,,EyeOpen,await
pro_127,Sound,,BGM:Daily1,>
pro_128,Text,{{Player}},"어, 일어났어...",click
pro_129,Text,로아,{{Player}}! 일어나라니까!,click
pro_130,Text,{{Player}},"일어났어, 로아. 이제 그만해...",click
pro_131,Text,로아,"거짓말하지 마. 빨리 와서 얼굴 보여, 그럼.",click
pro_132,Text,{{Player}},"아, 정말...",click
pro_133,Char,,C:Enter:c01:_21:Mob,await
pro_134,Text,로아,"지금 귀찮다고 생각했지?\n하지만 이렇게까지 하지 않으면 늦는다고! 자, 이제 빨리 가서 학교 갈 준비 해!",click
pro_135,Text,로아,"1교시 전공이잖아.\n안 그래도 정문에서 먼데, 꾸물거리면 정말로 지각한다구!",click
pro_136,Text,,"잘못 만든 게 확실하다.\n일정 관리를 목적으로 하는 일상형 AI를 만들고 싶던 것이기는 했지만, 이 정도일 줄이야.",click
pro_137,Text,,씻고 나와 옷을 입으려고 하자 로아가 놀란 목소리로 다시 말했다.,click
pro_138,Text,로아,"<emote=_41/>설마...\n어제 입었던 그 검은색 반팔, 또 입으려는 건 아니지?",click
pro_139,Text,로아,"새학기라고!\n이렇게 날씨가 좋은데, 검은 옷만 입지 말고 다른 것 좀 입어 봐.",click
pro_140,Choice,,,>
pro_141,Option,,어제 입었던 옷을 다시 입는다|same_clothes,>
pro_142,Option,,다른 옷을 입는다|diff_clothes,>
same_clothes,Text,로아,예쁜 옷이 없는 것도 아닌데 왜 그러는 거야?\n정말 답답하다니까.,click
pro_143,Text,로아,"<emote=_00/>뭐, 그래도 안 어울리는 건 아니니까 봐 줄게.",click
pro_144,Flow,,Jump:go_campus,>
diff_clothes,Text,로아,"<emote=_00/>그래, 훨씬 더 좋네!\n이번 학기의 내 목표는 {{Player}}가 옷 1벌을 사게 만드는 거야. 열심히 해야지!",click
pro_145,Flow,,Jump:go_campus,>
go_campus,Text,로아,"자, 이제 출발! 첫 수업이니까 같이 힘내자, {{Player}}!",click
pro_146,Char,,C:Exit,await
pro_147,Place,,첫 전공수업 | 공대 강의실,>
pro_148,BG,,bg_20_05:Cut,await
pro_149,Sound,,BGM:Daily2,>
pro_150,Text,,새학기라고는 하지만 학교는 늘 똑같다.,click
pro_151,Text,,"익숙한 공대 건물, 변한 게 하나도 없는 강의실.",click
pro_152,Text,,무엇보다 내 머릿속에는 오늘 수업을 마치고 나서\n동아리방에 가 로아의 데이터베이스를 뜯어볼 생각밖에 없다.,click
pro_153,Text,,선배들이 다 졸업하고 부원이라고는 나 혼자 남은 동방에 가 봤자 혼자겠지만...\n그런 건 중요하지 않다.,click
pro_154,Text,,"알고리즘 메이커는 원래도 잘 알려지지 않은 동아리였고,\n내가 입부했을 때도 전부 두 학번은 훌쩍 넘게 차이나는 선배들뿐이었다.",click
pro_155,Text,,"뭐, 상관없다.\n친구 사귀려고 들어간 것도 아니고.",click
pro_156,Text,,그런 건 애초에 관심도 없다.,click
pro_157,Text,,"그렇게 생각하고 있었는데, 시끄러운 큰 무리가 하필이면 내 옆에 우르르 앉았다.\n시끄러운 건 딱 질색인데.",click
pro_158,Text,,그 중에서도 내 옆자리에 앉은 여자애는\n요즘 좀처럼 찾아보기 힘든 노트와 펜을 꺼내둔 모습이었다.,click
pro_159,Text,,이건 조금... 신기했을지도 모르겠다.,click
pro_160,Text,교수님,컴퓨터구조 수업 시작하겠습니다.\n출석 부를테니까 대답하세요.,click
pro_161,Text,,"됐다, 신경쓰지 말자.\n그런 것보다는 로아를 빨리 고도화하는 게 중요하다. 애초에 그러려고 핸드폰에도 심은 거니까.",click
pro_162,Text,,"일상생활하면서 계속 상황 주고 생성형 답변 유도하면서 재학습시키면,\n내 일상에 대한 데이터는 베이스 자체를 키울 수 있을 것 같고,",click
pro_163,Text,,그러고 나면 대학생 전체로 파이를 좀 키워서...,click
pro_164,Text,,저기.,click
pro_165,Sound,,BGM:Daeun,>
pro_166,Char,,C:Enter:Daeun,await
pro_167,Text,서다은,혹시 {{Player}}님 맞으세요?,click
pro_168,Text,,아까 시끄러운 무리에 있던 그 여자애다. 노트에 펜.\n입학했을 때부터 항상 사람들하고 몰려다니던.,click
pro_169,Text,{{Player}},네? 저요?,click
pro_170,Text,,그런데 지금 갑자기 나한테 말을 왜 걸지.\n내 이름을 부른 것 자체에도 너무 당황한 나머지 되묻기까지 했다.,click
pro_171,Text,,그러자 그 애는 도리어 본인이 더 당황한 듯 주위를 둘러보더니 빠르게 작은 목소리로 말했다.,click
pro_172,Text,서다은,<emote=_41/>네. 지금 교수님이 출석 부르시는데...,await
pro_173,Text,{{Player}},"아,",click
pro_174,Text,,"조금 창피해진 나머지 급하게 대답하려고 했는데, 여자애가 한 번 더 작은 목소리로 내게 속삭였다.",click
pro_175,Text,서다은,그보다 핸드폰이... 지금 뭐라고 하는 것 같아요.,click
pro_176,Text,,핸드폰?,await
pro_177,Text,,"핸드폰을 넣어둔 바지 주머니를 무심코 바라보자, 거기서는 로아의 목소리가 울리고 있었다.",click
pro_178,Text,,"C:Enter:Roa:BG:roa_mob:활짝웃음:네, {{Player}} 여기 있어요!",click
pro_179,Text,,C:Exit:Roa:BG:화들짝 놀라 우당탕 소리가 날 만큼 핸드폰을 급하게 꺼내 음량 버튼을 연타했다.,await
pro_180,Text,,C:Enter:Daeun:눈웃음:옆의 여자애는 결국 내 꼴에 웃음을 잔뜩 참는 듯한 표정이었다.,click
pro_181,Text,,{{Player}} 학생?,click
pro_182,Text,,한 번 더 불린 이름에 고개를 번쩍 드니 교수님과 몇 명이 나를 쳐다보고 있었다.\n이미 몇 번 내 이름을 불렀는데 대답하지 않은 모양이다.,click
pro_183,Text,{{Player}},"아, 네. 죄송합니다. {{Player}}입니다.",click
pro_184,Text,,다행히 로아의 목소리가 다른 사람들에게 전부 들릴 정도는 아니었던 모양이다.,click
pro_185,Text,,교수님은 관심도 없다는 듯 출석을 체크하며 고개를 가볍게 저었다.,click
pro_186,Text,교수님,"봄이라고 다들 너무 들떴네.\n아무리 그래도 수업 동안에는 핸드폰 좀 어떻게 해라. 자, 다음.",click
pro_187,Text,,진짜 못 들은 거 맞나...\n친구에 관심이 없는 거였지 굳이 창피한 짓을 하려고 한 건 아니었는데.,click
pro_188,Text,,생각보다 더 창피한 나머지 고개를 책상에 처박았다. 왜 무음모드 안 해뒀지.,click
pro_189,Text,,있다가 가면 수업 시간 중에는 자동 무음 모드가 되는 것부터 추가해야겠다.,click
pro_190,Text,,그러던 중 옆의 여자애와 다시 눈이 마주쳤다.,click
pro_191,Text,,그러자 그녀는 살짝 웃으며 아까보다 더 작은 목소리로 말했다.,click
pro_192,Char,,C:Enter:Daeun,await
pro_193,Text,서다은,괜찮아요. 소리 작던데요. 비밀로 해줄게요.,click
pro_194,Choice,,,>
pro_195,Option,,조용히 고개를 숙여 나름 감사 인사를 한다|thank_daeun,>
pro_196,Option,,무시한다|ignore_daeun,>
thank_daeun,Char,,C:Emote:_11,await
pro_197,Text,,그녀는 말없이 한 번 더 웃어보이고는 다시 앞으로 고개를 돌렸다.,click
pro_198,Flow,,Jump:after_class,>
ignore_daeun,Char,,C:Emote:_23,await
pro_199,Text,,"내가 아무 말이 없자 그녀는 잠시 당황하는 듯 보였지만,\n<emote=다은:눈웃음>이내 살짝 웃더니 다시 앞으로 고개를 돌렸다.",click
pro_200,Char,,C:Exit,click
pro_201,Flow,,Jump:after_class,>
after_class,Text,,"...새 학기 첫 날인데, 긴 하루가 될 것 같다.",click
pro_202,Text,,앞으로 두 개나 더 남은 수업에 한숨을 내쉬며 교재를 펼쳤다.,click
pro_203,Place,,수업 종료 | 캠퍼스,>
pro_204,BG,,bg_30_01:Cut,await
pro_205,Text,,드디어 학기 첫 날 모든 수업이 전부 끝났다.,click
pro_206,Text,,전공과 교양을 일부러 모두 다른 날에 분리해 두었다.,click
pro_207,Text,,"시간표 짜느라 고생은 좀 했지만, 동방이 있는 학생회관은 공대와 멀지 않아서 이렇게 하는 게 가기 편하다.",click
pro_208,Text,,이제 진짜 빨리 동방에 가서 로아를 볼 일만 남았다.\n시간이 아까울 정도다. 빨리 가야지.,click
pro_209,Text,,"…라고 생각했는데,",click
pro_210,Text,,"어, 비키...!",click
pro_211,Text,,무언가가 와서 부딪혔다.,click
pro_212,Flow,,Save,>
pro_213,BG,,bg_00_00:2.0,await
pro_214,FX,,EyeOpen,await
pro_215,Text,하예은,"C:enter:예은:아, 진짜! 주변 좀 보고 걸어요! 뛰고 있는데 어떻게 멈추라고!",click
pro_216,Text,,"정신을 차리고 보니, 노란 머리의 여자애가 째려보는 것이 느껴졌다.",click
pro_217,Text,하예은,"<emote=찌릿>저기요, 핸드폰에 밥 넣어뒀어요?\n어떻게 앞을 그렇게 안 봐요? 그러다 진짜 다쳐요.",click
pro_218,Text,{{Player}},"...밥, 밥이요?",click
pro_219,Text,,"이런 말은 처음 들어본다. 걱정을 하는 건지, 욕을 하는 건지...",click
pro_220,Text,{{Player}},죄송합니다.,click
pro_221,Text,하예은,됐어요. 안 다쳤죠?,click
pro_222,Text,,노란 머리의 여자애는 대답을 들을 생각이 있던 건 아니었는지 신발을 고쳐 신으며 몸을 돌리려 했다.,click
pro_223,Text,,"그러다 눈이 마주쳤는데, 그러자 여자애는 뭔가 이상하다는 듯 점점 다가왔다.",click
pro_224,Text,하예은,...뭐야. 너 혹시...,click
pro_225,Text,,"이상하게 점점 다가온다.\n뭐야, 뭐냐고! 나도 모르게 뒷걸음질을 쳤다.",click
pro_226,Choice,,,>
pro_227,Option,,도망간다|run_away,>
pro_228,Option,,멈춘다|stay_still,>
run_away,Text,,당황한 나는 황급하게 몸을 돌려 방향을 틀었다.,click
pro_229,Text,,하지만 그 사이 여자애의 손이 내 옷자락을 잡아당겼다.,click
pro_230,Flow,,Jump:yeun_intro,>
stay_still,Text,,여자애는 이제 내 코앞까지 다가와 있었다.,click
pro_231,Text,,한참을 나를 보던 여자애는 한쪽 눈을 찡그리며 고민하듯이 말했다.,click
pro_232,Flow,,Jump:yeun_intro,>
yeun_intro,Sound,,BGM:Yeun,>
pro_233,Char,,C:Enter:Yeun:_41,await
pro_234,Text,하예은,너... {{Player}}?,click
pro_235,Text,,내 이름을 어떻게 알고 있지?,click
pro_236,Text,하예은,{{Player}} 맞지? 그 찔찔이!,click
pro_237,Text,,찔... 찔찔이?,click
pro_238,Text,,당황스러운 호칭에 나도 모르게 말을 더듬었다.\n그런 나를 보고 여자애는 자신있게 소리쳤다.,click
pro_239,Text,하예은,"<emote=_12/>그래, 찔찔이! 뭐만 하면 울었잖아!",click
pro_240,Text,{{Player}},누구세요?,click
pro_241,Text,하예은,<emote=_00/>내가 기억이 안 나?,click
pro_242,Text,{{Player}},기억이 날 것 같기도 하고...,click
pro_243,Text,하예은,"<emote=_21/>안 난다고 해라, 진짜!",click
pro_244,Text,{{Player}},기억 나!\n기억 나! 난다고!,click
pro_245,Text,하예은,<emote=_00/>그래? 내 이름 뭔데.,click
pro_246,Text,{{Player}},그...,click
pro_247,Choice,,,>
pro_248,Option,,기억난다|remember_yeun,>
pro_249,Option,,기억나지 않는다|forgot_yeun,>
remember_yeun,Text,{{Player}},"그... 음... 어, 혹시 하예은?",click
pro_250,Char,,C:Emote:_41,await
pro_251,Text,하예은,"어, 정말로... 기억하네.",click
pro_252,Flow,,Jump:yeun_reunion,>
forgot_yeun,Text,{{Player}},"그... 사실 기억 안 나. 미, 미안.",click
pro_253,Char,,C:Emote:_41,await
pro_254,FX,,Wait:1.5,await
pro_255,Char,,C:Emote:_00,await
pro_256,Text,하예은,"됐어. 너한테 뭘 기대하냐, 바보야.\n하예은이잖아!",click
pro_257,Text,,"누가 봐도 실망한 표정이었는데, 방금.",click
pro_258,Flow,,Jump:yeun_reunion,>
yeun_reunion,Text,,목소리를 들으니 이제 조금 더 기억이 나기 시작했다.\n초등학교 때 같이 놀이터에서 놀던 여자애.,click
pro_259,Text,,"옆집에 살았기도 하고, 같은 학교를 다녀서 어렸을 때는 같이 놀았던 일이 꽤 많았다.",click
pro_260,Text,,그 때도 매일 놀이터에 태권도 도복 입고 나왔었는데.\n안에 노란색 내복 입고.,click
pro_261,Text,,복장을 보니 아직도 태권도를 하는 것 같았다.,click
pro_262,Text,,한참을 머뭇거리던 예은이 아까보다 작은 목소리로 말했다.,click
pro_263,Text,하예은,"그건 그렇고, 지금까지 왜... 그... 그...",click
pro_264,Text,하예은,연락... 안 했냐?,click
pro_265,Text,{{Player}},모르는데 어떻게 해?,click
pro_266,Text,하예은,"<emote=_21/>장난치는 거야, 지금?!",click
pro_267,Text,{{Player}},"그게 아니라 진짜로! 진짜!\n핸드폰 번호도 모르고, 그러니까 그게!",click
pro_268,Text,하예은,"내가 그 때, 그거, 그거 줬잖아!",click
pro_269,Text,{{Player}},그거?,click
pro_270,Text,하예은,<emote=_34/>이 바보가...!,click
pro_271,Text,,내가 예은의 말을 알아듣지 못하자 예은의 얼굴이 터질 것처럼 빨갛게 달아올랐다.,click
pro_272,Text,,하지만 정말 기억이 안 난다. 뭘 말하는 거지?,click
pro_273,Text,???,하예은! 왜 안 와!,click
pro_274,Text,,누군가가 예은을 부르는 것 같았지만 예은은 신경도 쓰지 않고 나에게 말했다.,click
pro_275,Text,하예은,<emote=_00/>핸드폰 줘 봐.,click
pro_276,Text,,얼떨결에 핸드폰을 내밀자 받아든 예은이 어이가 없다는 듯 말했다.,click
pro_277,Text,하예은,"<emote=_21/>잠금 풀고 줘야 할 거 아니야!\n멍한 건 어렸을 때랑 똑같아, 진짜.",click
pro_278,Text,{{Player}},"미, 미안.",click
pro_279,Text,,내가 왜 사과를 하고 있지?\n그런데 사과가 내 입에서 나오는 게 자연스럽다.,click
pro_280,Text,,잠금이 풀린 핸드폰을 다시 받아든 예은이 액정을 두드렸다.,click
pro_281,Text,하예은,"<emote=_00/>야, 이거 내 번호니까 저장해.",click
pro_282,Text,하예은,연락하면 바로바로 받아.\n나 기다리는 거 안 좋아한단 말이야.,click
pro_283,Text,하예은,"<emote=_21/>그리고 이번에도 연락 안 하면 가만 안 둔다, 진짜!",click
pro_284,Text,하예은,<emote=_00/>그럼 나 간다.,click
pro_285,Text,,예은은 그 말을 마지막으로 대답도 듣지 않고 휙 몸을 돌려 가 버렸다.,click
pro_286,Char,,C:Exit,await
pro_287,Text,,조금 멍해져서 그 뒷모습을 쳐다보았다.\n예전보다 더 병아리 같아졌는데 목소리는 더 커졌다. 혼난 기분이다.,click
pro_288,Text,,그런데 몇 걸음 멀어졌던 예은이 얼마 가지 않아 다시 가까이 다가오더니 새빨간 얼굴로 다시 소리쳤다.,click
pro_289,Char,,C:Enter:Yeun:_34,await
pro_290,Text,하예은,"뭐, 좋아하고, 뭐, 관심 있고, 그딴 거 절대 아니니까 오해하면 안 돼!",click
pro_291,Text,하예은,"이제 가! 아니, 내가 갈 거야!\n잘 가던지, 알아서 해!",click
pro_292,Text,{{Player}},"그, 그래. 잘 가.",click
pro_293,Char,,C:Exit,await
pro_294,Sound,,BGM:Daily2,>
pro_295,FX,,Wait:0.5,await
pro_296,Text,,<sfx=메시지 알림음/>핸드폰에 남겨진 예은의 번호를 저장하자 로아의 메시지가 왔다.,click
pro_297,Char,,C:Enter:c01:_00:Mob,await
pro_298,Text,로아,"우와, 새로운 번호네! 누구야?",click
pro_299,Text,{{Player}},어릴 때 알던 친구야. 우연히 만났어.,click
pro_300,Text,로아,잘 됐네! 오랜만에 만났는데 어땠어?,click
pro_301,Choice,,,>
pro_302,Option,,재미있었어.|fun_meeting,>
pro_303,Option,,조금 어색했어.|awkward_meeting,>
fun_meeting,Text,로아,그래? 예은이와 좋은 친구가 될 수 있겠네. 나도 잘 저장해 둘게!,click
pro_304,Flow,,Jump:go_home,>
awkward_meeting,Text,로아,오랜만에 만나서 그럴 거야. 몇 번 이야기하면 어릴 때로 돌아간 것 같을 걸?,click
pro_305,Flow,,Jump:go_home,>
go_home,Text,{{Player}},그럴 수 있을지 모르겠다.\n데이터는 잘 들어간 거야?,click
pro_306,Text,로아,<emote=_11/>데이터 확인 완료! 걱정 마.,click
pro_307,Text,{{Player}},"그래. 하, 이제 좀 여유가 생겼네...",click
pro_308,Char,,C:Exit,await
pro_309,Flow,,Value:Schedule,>
pro_310,Place,,새 학기 첫날 밤 | 자취방,>
pro_311,BG,,bg_10_03:Cut,await
pro_312,Sound,,BGM:Daily1,>
pro_313,Text,,"평소에 비해 그렇게 늦은 시간까지 깨어 있는 것도 아닌데, 피곤하다.\n역시 학교 수업 듣는 건 듣기만 해도 피곤한 게 맞다니까.",click
pro_314,Char,,C:Enter:c01:_00:Mob,await
pro_315,Text,로아,"{{Player}}, 졸려?\n눈을 깜빡이는 속도가 느려졌어.",click
pro_316,Text,{{Player}},"응, 조금 졸리네. 이제 자야겠어.",click
pro_317,Text,로아,좋아! 늘 듣던 그거 들으면서 잘까?,click
pro_318,Text,{{Player}},"뭐, 좋아. 이제 불 끈다.",click
pro_319,Text,로아,"잠깐, 잠깐! 나 아직 로딩 중이야!",click
pro_320,BG,,bg_10_05:Cross,await
pro_321,Sound,,BGM:Night,>
pro_322,FX,,Wait:0.5,await
pro_323,Text,로아,...됐다!,click
pro_324,Text,{{Player}},이제 진짜 잔다. 내일 봐.,click
